statement_id,text,completion
2,"In my family we are considerably healthy because people get sick from time to time. Even this year we got sick, although we do not visit the hospital we do get better eventually. Instead we go to church as we are prohibited of going to the hospital because of cultural issues, and beliefs (they believe church are more serious and that some diseases are linked to spiritual problems) and also going to the hospital takes longer time to be assisted. We do get sick because it is the way God made things to occur we do not know why. We try to change but we still do get sick even though we make use of mosquito nets. We also dig holes in which we put litter and we also have better latrines/toilets. We take three baths per day, and also wash our hands after visiting the washrooms. We do use mosquito nets. Yes, there are. We previously took a bath per day, and we would go to the bushes to alleviate our selves. We changed our behaviours because we learned from Organisation 1 that the way one behaves contributes to a health status. Caring for our health is considerably important. Men and women in my house hold mostly use the latrines/toilets and we take three baths per day.","Religious beliefs_~Go to hospital
Received training (Organisation 1)_Health behaviour; Use mosquito nets
Received training (Organisation 1)_Health behaviour; Use pits to dispose of rubbish
Received training (Organisation 1)_Health behaviour; Use better toilets; No longer in open spaces
Received training (Organisation 1)_Health behaviour; Increase number of washes per day"
4,"This year things are getting worst, we often get sicker. I cannot explain why only God can explain as sickness was created by him. Our churches prohibited us from visiting the hospital and as a result five of my children are dead.",~Go to hospital_Death in the family; Children
5,"Not much has changed as we have the strength to farm more and things have not changed regardless of my husbands own business. We have altered because in the last year we planted millet and corn because, regardless of the difficulties in life we try to fight for better things. We have nothing, the chicken we had all died due to sickness. Yes, there had been, Organisation 1 taught us how to plant and how to harvest in the best manner. It has not changed as much because in my family we still arrange the barn and sift corn after removing the shell. Yes, in my garden in general we plant tomatoes, vegetables, cabbage, and corn because we grow crops in our farm and that way we have no food shortages.","~Livestock health; Disease_~Livestock health; Death
Resilient outlook/strive for better things_Planted new crop/vegetable varieties
Received training (Organisation 1)_Increased knowledge; Farming method/practice
Planting own crops_No longer go hungry/starve"
7,"It has decreased because in my family we do get sick, my husband and I likewise for my husbands other wives. We all get sick and when this happened everything is affected and put on hold.",~Improved health_Unable/less able to work on farm
8,"My family earns money only because of the savings that Organisation 1 has provided for us. They taught us how to save money. My husband has his own business. Without getting along well nothing has changed we live in the same way. Nothing has changed as we are not able to produce more. The earnings we obtain from agriculture has not changed at all, and everything we have is due to business that my husband does and also through savings. My husband sells sieves, brooms and much more and it is through this money that we make a living.","Member of savings group_Increased knowledge; Finance
Member of savings group_Increased ability to save/increased savings"
11,"Not much has changed as the food is the same. We do not always consume new foods, but when we manage to we do eat different things. We do eat maize, cassava, porridge although not at all times as we do not always have money. Yes, the level of production has changed to reduction for the worst because we do not plant almost anything but with the neighbours help with giving food and the community we do eat a bit. It has changed because we do not earn as much money for many different foods. Yes, a lot has changed  because it does not exist anymore, because it was not good to eat and as a result we no longer eat it.",~Income_~Ability to buy food
13,The main motive is due to our health problems and lack of money.,"~Improved health_Unable/less able to work on farm
~Income_~Food consumption quantity"
15,There has been no change as we were not able to change because we are unable to produce more.,No change in production; Poor_No change in production; Poor
17,There has been a huge change because we do not have conditions to feed ourselves because barely produce.,~Yields_~Ability to meet household needs; Food
20,Main reason for this changes is because we don't have conditions to purchase better things  and  the disease that we normally have doesn't allow our progress.,~Improved health_Unable/less able to work on farm
23,"Our spending habits have not changed, everything still is bad. To save I often deposit into the savings although nothing has improved. Nothing has changed because for the past few years our lives have been going very badly. My husband makes all decisions because he has four wives and I am the third wife and he prohibits me from doing anything. I am the only one who part takes in the savings with a weekly amount of two hundred local currency, two times in a week. My husband has no savings and does not part take in savings. In my family no one asks for money or anything else. I do not know why we do not part take in savings.",Member of savings group_Saves weekly
25,It has minimized as we do not have a means of earning funds to improve our lives in as much as we want to change a few things.,~Income_Decreased ability to purchase goods
27,"Not much has changed as we produce less food, although little it is only enough for personal consumption and my husband earns money through businesses and that is how we get by.","Non-farming business_Income
Income_Ability to meet household needs"
28,"My husband has changed, he would beat us, all women in the house hold were beaten, but ever since a man from Organisation 1 came and spoke to him he has since changed. There has been no changes in my home, my husband is in charge, he is in charge of everything inclusive the saving that I make. There has been no changes as women in the house hold are subjected to having to do all the work because he says that women should do all the work. My husband does not take care of the kids, it is my duty as a woman to do so. I do not know what to say but I do know for sure that I do everything.","Increased knowledge; Relationships/gender_Husband no longer beats wife/wives
Husband in charge of household_Husband in charge of household"
31,"Our relations here are normal as we have good relations, but it has not been easy. This year my husband enrolled in the group but we only own a garden because I leader taught us how to. There are no differences as we only plant our farms. I do not know why but I am not a member but I see other people who part take in and I have to say it is good to see them growing in their lives.",Community groups/learning_Increased knowledge; Farming method/practice
37,For our future we would like it if things changed. We would like more help in my household to assist my husband. We would like to participate in the farmers group and we would also like to be able to go to the hospital and that children stop dying.,Farmers group_Assistance
41,"Healthwise my family is doing well as in comparison to other years. We are healthy but from time sickness never cease to exist but nothing serious. We now take two baths per day. We wash our hands post toilet use, using the tip tap which has been placed along the wash room exit,  which was implemented by Organisation 1. We use mosquito nets, we dig holes on which we toss litter and we wash our food. There has been many things that we stopped doing, my family and I as for example; going to the bushes as an alternative toilet, we used to litter haphazardly, at times we never took showers and we never used to wash our hands post toilet use. We also never used mosquito nets. Yes, it has been different. Yes, it all happened all of a sudden. We have all picked up these good habits in order to be well off as for example using mosquito nets, using toilets/latrines and many other thing we did wrong. We like to visit tradition healers instead of going to the hospital, we now visit the hospital whenever we feel a need to.","Increased knowledge; Health and hygiene practices_Health behaviour; Wash hands; After using toilet
Increased knowledge; Health and hygiene practices_Health behaviour; Increase number of washes per day
Increased knowledge; Health and hygiene practices_Health behaviour; Use mosquito nets
Increased knowledge; Health and hygiene practices_Health behaviour; Use pits to dispose of rubbish
Increased knowledge; Health and hygiene practices_Health behaviour; Wash food before cooking/eating
Increased knowledge; Health and hygiene practices_Health behaviour; Use better toilets; No longer in open spaces
Access to tap_Health behaviour; Wash hands; After using toilet"
43,"It has improved a lot because we no longer abide by the old manners that we had, and as a result my family rarely gets sick as in comparison to before.","Increased knowledge; Health and hygiene practices_Health behaviour
Health behaviour_Improved health"
44,"We have had some new changes which have led to an improvement in our production. It changed for the better because now we have enough to eat and sell. I had a second alteration as chicken were dying amongst my livestock, but I have oxen, goat, and sheep. I recently changed as I cultivated without transferring, sometimes we work in lines. My harvest is good for corn as a product for personal consumption and sell. I use bags after thrashing and then I store, because it is the best way. Yes, it has now changed as I have onions, beet, carrots and vegetables which earns me money. I have realised that the new crops grow faster, and they do not require much money. We have to increase our crops.","Improved/new farming techniques; Cultivating in lines_Farm production
Planted new crop/vegetable varieties_Income
Farm production_Produced enough food to eat and/or sell
Income_Wellbeing"
46,"It has changed for the better because I am producing more in my farm, approximately six tons of crops. For this year eight tons would be significant. In my garden, there has been some positive changes because I have produced more, which is enough to sell and for personal consumption. With this money I purchased a pump.","Farm production_Produced enough food to eat and/or sell
Produced enough food to eat and/or sell_Income
Income_Able to buy farming equipment/materials"
47,"I earn money because I am a war veteran and I have a right to some income from the government, and with this income I invest into farms and I have two farms in total which occupy 12 hectares of land. This year I have been producing more than the previous years because since the beginning of the year I lost almost all crops caused by raining and cyclone now I need to recover. Yes, it has changed for the better because I now plant more which is enough to sell and plant crops which earns me money to get by. Getting more money out of sales has made me happy. Yes, it has changed because the money that I earn as a war veteran and from the farm sales also helps.",Receives money from gov; War veteran_Able to buy farming equipment/materials
